t_sec,x,y,z
0.0000,-0.3525390625,-0.3379058837890625,-0.904144287109375
0.0473,-0.156219482421875,-0.3379058837890625,-0.904144287109375
2.0213,-0.156219482421875,-0.21002197265625,-0.904144287109375
3.0278,-0.156219482421875,-0.21002197265625,-0.962554931640625
4.0818,-0.1959381103515625,-0.21002197265625,-0.962554931640625
6.0547,-0.1959381103515625,-0.2227325439453125,-0.962554931640625
7.0676,-0.1959381103515625,-0.2227325439453125,-0.9566802978515625
7.1144,-0.1758575439453125,-0.2227325439453125,-0.9566802978515625
9.0795,-0.1758575439453125,-0.21533203125,-0.9566802978515625
10.0917,-0.1758575439453125,-0.21533203125,-0.9469451904296875
