t_sec,x,y,z
0.0000,0.117462158203125,-0.47900390625,-0.850860595703125
1.8242,0.117462158203125,-0.66204833984375,-0.850860595703125
2.8411,0.117462158203125,-0.66204833984375,-0.762054443359375
3.0189,0.2103118896484375,-0.66204833984375,-0.762054443359375
4.8603,0.2103118896484375,-0.62469482421875,-0.762054443359375
5.8644,0.2103118896484375,-0.62469482421875,-0.827545166015625
6.0343,0.0374298095703125,-0.62469482421875,-0.827545166015625
7.8751,0.0374298095703125,-0.578582763671875,-0.827545166015625
8.8868,0.0374298095703125,-0.578582763671875,-0.7388763427734375
9.0573,-0.023773193359375,-0.578582763671875,-0.7388763427734375
10.9031,-0.023773193359375,-0.5032196044921875,-0.7388763427734375
