t_sec,x,y,z
0.0000,-0.1563720703125,-0.21533203125,-0.9469451904296875
1.9720,-0.1563720703125,-0.1966400146484375,-0.9469451904296875
3.0021,-0.1563720703125,-0.1966400146484375,-0.9627838134765625
3.0330,-0.18621826171875,-0.1966400146484375,-0.9627838134765625
5.0020,-0.18621826171875,-0.185211181640625,-0.9627838134765625
6.0197,-0.18621826171875,-0.185211181640625,-0.96124267578125
6.0509,-0.2050323486328125,-0.185211181640625,-0.96124267578125
8.0224,-0.2050323486328125,-0.181427001953125,-0.96124267578125
9.0472,-0.2050323486328125,-0.181427001953125,-0.9638519287109375
9.0796,-0.199737548828125,-0.181427001953125,-0.9638519287109375
11.0492,-0.199737548828125,-0.1779937744140625,-0.9638519287109375
