t_sec,x,y,z
0.0000,-0.24200439453125,-0.2681427001953125,-0.8915557861328125
1.9722,-0.24200439453125,-0.2290191650390625,-0.8915557861328125
2.9906,-0.24200439453125,-0.2290191650390625,-0.95892333984375
3.0417,-0.2850799560546875,-0.2290191650390625,-0.95892333984375
5.0228,-0.2850799560546875,-0.25634765625,-0.95892333984375
6.0322,-0.2850799560546875,-0.25634765625,-0.9409332275390625
6.0949,-0.2578887939453125,-0.25634765625,-0.9409332275390625
8.0511,-0.2578887939453125,-0.2203369140625,-0.9409332275390625
9.0598,-0.2578887939453125,-0.2203369140625,-0.94329833984375
9.1231,-0.2737579345703125,-0.2203369140625,-0.94329833984375
11.0783,-0.2737579345703125,-0.285491943359375,-0.94329833984375
