t_sec,x,y,z
0.0000,-0.1128387451171875,-0.59967041015625,-0.8212738037109375
0.1092,-0.0994720458984375,-0.59967041015625,-0.8212738037109375
1.9537,-0.0994720458984375,-0.5982818603515625,-0.8212738037109375
3.0196,-0.0994720458984375,-0.5982818603515625,-0.7967529296875
3.1281,-0.0949554443359375,-0.5982818603515625,-0.7967529296875
4.9786,-0.0949554443359375,-0.5980377197265625,-0.7967529296875
6.0546,-0.0949554443359375,-0.5980377197265625,-0.7980194091796875
6.1640,-0.10003662109375,-0.5980377197265625,-0.7980194091796875
7.9998,-0.10003662109375,-0.60040283203125,-0.7980194091796875
9.0659,-0.10003662109375,-0.60040283203125,-0.7941741943359375
9.1898,-0.1033935546875,-0.60040283203125,-0.7941741943359375
11.0336,-0.1033935546875,-0.5971221923828125,-0.7941741943359375
