t_sec,x,y,z
0.0000,-0.0127410888671875,-0.035980224609375,-0.998809814453125
1.0833,-0.0127410888671875,-0.035980224609375,-1.0009613037109375
1.8708,-0.012908935546875,-0.035980224609375,-1.0009613037109375
3.0342,-0.012908935546875,-0.03564453125,-1.0009613037109375
4.1095,-0.012908935546875,-0.03564453125,-1.0009002685546875
4.8934,-0.0123748779296875,-0.03564453125,-1.0009002685546875
6.0554,-0.0123748779296875,-0.0359649658203125,-1.0009002685546875
7.1219,-0.0123748779296875,-0.0359649658203125,-1.0013275146484375
7.9087,-0.0133514404296875,-0.0359649658203125,-1.0013275146484375
9.0775,-0.0133514404296875,-0.0355987548828125,-1.0013275146484375
10.1500,-0.0133514404296875,-0.0355987548828125,-1.001800537109375
