t_sec,x,y,z
0.0000,-0.011932373046875,-0.0357513427734375,-1.0014495849609375
0.8862,-0.011871337890625,-0.0357513427734375,-1.0014495849609375
1.9370,-0.011871337890625,-0.036529541015625,-1.0014495849609375
3.0388,-0.011871337890625,-0.036529541015625,-1.00042724609375
3.9203,-0.0126495361328125,-0.036529541015625,-1.00042724609375
4.9627,-0.0126495361328125,-0.037445068359375,-1.00042724609375
6.0712,-0.0126495361328125,-0.037445068359375,-1.00152587890625
6.9678,-0.01165771484375,-0.037445068359375,-1.00152587890625
7.9915,-0.01165771484375,-0.037200927734375,-1.00152587890625
9.0875,-0.01165771484375,-0.037200927734375,-1.001922607421875
11.0138,-0.0121917724609375,-0.037200927734375,-1.001922607421875
