t_sec,x,y,z
0.0000,-0.01068115234375,-0.0377960205078125,-1.0003662109375
1.0116,-0.01068115234375,-0.0377960205078125,-0.99951171875
1.8659,-0.009765625,-0.0377960205078125,-0.99951171875
3.0341,-0.009765625,-0.0374603271484375,-0.99951171875
4.0470,-0.009765625,-0.0374603271484375,-1.000213623046875
4.8986,-0.00946044921875,-0.0374603271484375,-1.000213623046875
6.0670,-0.00946044921875,-0.0379791259765625,-1.000213623046875
7.0744,-0.00946044921875,-0.0379791259765625,-1.001617431640625
7.9340,-0.0100860595703125,-0.0379791259765625,-1.001617431640625
9.0951,-0.0100860595703125,-0.036956787109375,-1.001617431640625
10.1091,-0.0100860595703125,-0.036956787109375,-1.00048828125
