t_sec,x,y,z
0.0000,-0.0642852783203125,-0.6532135009765625,-0.7292022705078125
1.5314,-0.0642852783203125,-0.5992584228515625,-0.7292022705078125
2.5461,-0.0642852783203125,-0.5992584228515625,-0.845916748046875
3.0241,-0.0537567138671875,-0.5992584228515625,-0.845916748046875
4.5654,-0.0537567138671875,-0.5948028564453125,-0.845916748046875
5.5680,-0.0537567138671875,-0.5948028564453125,-0.845703125
6.0672,-0.023712158203125,-0.5948028564453125,-0.845703125
7.5853,-0.023712158203125,-0.5774993896484375,-0.845703125
8.5890,-0.023712158203125,-0.5774993896484375,-0.7933502197265625
9.0832,-0.061798095703125,-0.5774993896484375,-0.7933502197265625
10.6085,-0.061798095703125,-0.5823974609375,-0.7933502197265625
