t_sec,x,y,z
0.0000,-0.1325225830078125,-0.6194000244140625,-0.7876739501953125
0.1857,-0.128265380859375,-0.6194000244140625,-0.7876739501953125
1.9943,-0.128265380859375,-0.621978759765625,-0.7876739501953125
3.0236,-0.128265380859375,-0.621978759765625,-0.779083251953125
3.2263,-0.112457275390625,-0.621978759765625,-0.779083251953125
5.0226,-0.112457275390625,-0.6149139404296875,-0.779083251953125
6.0438,-0.112457275390625,-0.6149139404296875,-0.79522705078125
6.2551,-0.1016845703125,-0.6149139404296875,-0.79522705078125
8.0507,-0.1016845703125,-0.61065673828125,-0.79522705078125
9.0687,-0.1016845703125,-0.61065673828125,-0.7835693359375
9.2716,-0.0943450927734375,-0.61065673828125,-0.7835693359375
11.0775,-0.0943450927734375,-0.6078948974609375,-0.7835693359375
