t_sec,x,y,z
0.0000,-0.0100860595703125,-0.3880157470703125,-0.920562744140625
1.8956,-0.0100860595703125,-0.3789825439453125,-0.920562744140625
2.9019,-0.0100860595703125,-0.3789825439453125,-0.9288330078125
3.0252,-0.0186004638671875,-0.3789825439453125,-0.9288330078125
4.9131,-0.0186004638671875,-0.372314453125,-0.9288330078125
5.9241,-0.0186004638671875,-0.372314453125,-0.9310302734375
6.0477,-0.01318359375,-0.372314453125,-0.9310302734375
7.9365,-0.01318359375,-0.3527984619140625,-0.9310302734375
8.9610,-0.01318359375,-0.3527984619140625,-0.9335784912109375
9.0688,-0.0337982177734375,-0.3527984619140625,-0.9335784912109375
10.9636,-0.0337982177734375,-0.3269500732421875,-0.9335784912109375
