t_sec,x,y,z
0.0000,-0.00677490234375,-0.03582763671875,-1.001312255859375
1.0005,-0.006866455078125,-0.03582763671875,-1.001312255859375
2.0015,-0.006866455078125,-0.0364990234375,-1.001312255859375
3.0018,-0.006866455078125,-0.0364990234375,-1.0027923583984375
4.0026,-0.006072998046875,-0.0364990234375,-1.0027923583984375
5.0032,-0.006072998046875,-0.0375213623046875,-1.0027923583984375
6.0042,-0.006072998046875,-0.0375213623046875,-1.0019378662109375
7.0062,-0.0059814453125,-0.0375213623046875,-1.0019378662109375
8.0071,-0.0059814453125,-0.03802490234375,-1.0019378662109375
9.0082,-0.0059814453125,-0.03802490234375,-1.0004730224609375
10.0090,-0.0059661865234375,-0.03802490234375,-1.0004730224609375
