t_sec,x,y,z
0.0000,0.0048065185546875,-0.0529937744140625,-0.9999847412109375
0.4927,-0.0131683349609375,-0.0529937744140625,-0.9999847412109375
2.0216,-0.0131683349609375,-0.03729248046875,-0.9999847412109375
3.0268,-0.0131683349609375,-0.03729248046875,-1.002716064453125
3.5286,-0.011505126953125,-0.03729248046875,-1.002716064453125
5.0369,-0.011505126953125,-0.0367431640625,-1.002716064453125
6.0404,-0.011505126953125,-0.0367431640625,-1.0001068115234375
7.5671,-0.01080322265625,-0.0367431640625,-1.0001068115234375
9.0714,-0.01080322265625,-0.035186767578125,-1.0001068115234375
10.0852,-0.01080322265625,-0.035186767578125,-1.000518798828125
