t_sec,x,y,z
0.0000,-0.0984039306640625,-0.6065216064453125,-0.792083740234375
1.8494,-0.0984039306640625,-0.6089324951171875,-0.792083740234375
2.8909,-0.0984039306640625,-0.6089324951171875,-0.7867889404296875
3.0616,-0.092742919921875,-0.6089324951171875,-0.7867889404296875
4.8753,-0.092742919921875,-0.605712890625,-0.7867889404296875
5.9140,-0.092742919921875,-0.605712890625,-0.7847747802734375
6.0833,-0.0987091064453125,-0.605712890625,-0.7847747802734375
7.8985,-0.0987091064453125,-0.607208251953125,-0.7847747802734375
8.9295,-0.0987091064453125,-0.607208251953125,-0.78704833984375
9.0986,-0.09765625,-0.607208251953125,-0.78704833984375
10.9317,-0.09765625,-0.604522705078125,-0.78704833984375
