t_sec,x,y,z
0.0000,-0.0931854248046875,-0.602020263671875,-0.8101806640625
1.7167,-0.0931854248046875,-0.6111297607421875,-0.8101806640625
2.7343,-0.0931854248046875,-0.6111297607421875,-0.78387451171875
3.0131,-0.0870819091796875,-0.6111297607421875,-0.78387451171875
4.7334,-0.0870819091796875,-0.602325439453125,-0.78387451171875
5.7646,-0.0870819091796875,-0.602325439453125,-0.807952880859375
6.0292,-0.087982177734375,-0.602325439453125,-0.807952880859375
7.7714,-0.087982177734375,-0.620574951171875,-0.807952880859375
8.8114,-0.087982177734375,-0.620574951171875,-0.729217529296875
9.0667,-0.0902557373046875,-0.620574951171875,-0.729217529296875
10.7987,-0.0902557373046875,-0.6046600341796875,-0.729217529296875
