t_sec,x,y,z
0.0000,-0.012664794921875,-0.0379180908203125,-1.0013885498046875
1.0100,-0.012664794921875,-0.0366058349609375,-1.0013885498046875
2.0304,-0.012664794921875,-0.0366058349609375,-1.001434326171875
3.0223,-0.01239013671875,-0.0366058349609375,-1.001434326171875
4.0317,-0.01239013671875,-0.037384033203125,-1.001434326171875
5.0588,-0.01239013671875,-0.037384033203125,-1.0020599365234375
6.0435,-0.012451171875,-0.037384033203125,-1.0020599365234375
7.0552,-0.012451171875,-0.0352630615234375,-1.0020599365234375
8.0897,-0.012451171875,-0.0352630615234375,-0.999908447265625
10.0780,-0.011688232421875,-0.0352630615234375,-0.999908447265625
