t_sec,x,y,z
0.0000,-0.0123443603515625,-0.03594970703125,-1.001678466796875
1.1469,-0.0123443603515625,-0.0362091064453125,-1.001678466796875
2.2561,-0.0123443603515625,-0.0362091064453125,-1.00244140625
3.0204,-0.01226806640625,-0.0362091064453125,-1.00244140625
4.1842,-0.01226806640625,-0.0364837646484375,-1.00244140625
5.2835,-0.01226806640625,-0.0364837646484375,-1.001678466796875
6.0448,-0.012725830078125,-0.0364837646484375,-1.001678466796875
7.2077,-0.012725830078125,-0.03631591796875,-1.001678466796875
8.3118,-0.012725830078125,-0.03631591796875,-1.0022125244140625
9.0806,-0.0137176513671875,-0.03631591796875,-1.0022125244140625
10.2510,-0.0137176513671875,-0.035552978515625,-1.0022125244140625
