t_sec,x,y,z
0.0000,-0.011688232421875,-0.0367279052734375,-0.999908447265625
1.0232,-0.011688232421875,-0.0367279052734375,-1.0009002685546875
2.0143,-0.01226806640625,-0.0367279052734375,-1.0009002685546875
3.0217,-0.01226806640625,-0.0373382568359375,-1.0009002685546875
4.0583,-0.01226806640625,-0.0373382568359375,-0.999481201171875
5.0421,-0.01080322265625,-0.0373382568359375,-0.999481201171875
6.0506,-0.01080322265625,-0.036376953125,-0.999481201171875
7.0922,-0.01080322265625,-0.036376953125,-1.00048828125
8.0699,-0.011260986328125,-0.036376953125,-1.00048828125
9.0773,-0.011260986328125,-0.0360565185546875,-1.00048828125
10.1151,-0.011260986328125,-0.0360565185546875,-1.000823974609375
