filename,label
1_20260920191906,0
2_20260920191917,0
3_20260920191929,0
4_20260920191940,0
5_20260920191951,0
6_20260920192002,0
7_20260920192013,0
8_20260920192025,0
9_20260920192036,0
10_20260920192047,0
11_20260920192058,0
12_20260920192110,0
13_20260920192122,0
14_20260920192133,0
15_20260920192144,0
16_20260920192155,0
17_20260920192206,0
18_20260920192218,0
19_20260920192229,0
20_20260920192241,0
21_20260920192253,0
22_20260920192304,1
23_20260920192316,1
24_20260920192327,1
25_20260920192338,1
26_20260920192350,1
27_20260920192401,1
28_20260920192412,1
29_20260920192423,1
30_20260920192435,1
31_20260920192446,1
32_20260920192458,1
33_20260920192509,1
34_20260920192520,1
35_20260920192532,1
36_20260920192543,1
37_20260920192554,1
38_20260920192606,1
39_20260920192618,1
40_20260920192629,1
41_20260920192640,1
42_20260920192651,2
43_20260920192702,2
44_20260920192713,2
45_20260920192724,2
46_20260920192736,2
47_20260920192747,2
48_20260920192759,2
49_20260920192811,2
50_20260920192823,2
51_20260920192834,2
52_20260920192845,2
53_20260920192857,2
54_20260920192908,2
55_20260920192919,2
56_20260920192931,2
57_20260920192944,2
58_20260920192956,2
59_20260920193007,2
60_20260920193018,2
61_20260920193030,2
62_20260920193041,
63_20260920193052,
64_20260920193104,
65_20260920193115,
66_20260920193127,
67_20260920193138,
68_20260920193149,
69_20260920193200,
70_20260920193212,
71_20260920193223,
72_20260920193234,
73_20260920193246,
74_20260920193257,
75_20260920193308,
76_20260920193321,
77_20260920193332,
78_20260920193343,
79_20260920193355,
80_20260920193406,
81_20260920193417,0
82_20260920193429,0
83_20260920193440,0
84_20260920193451,0
85_20260920193503,0
86_20260920193515,0
87_20260920193526,0
88_20260920193538,0
89_20260920193549,0
90_20260920193600,0
91_20260920193612,0
92_20260920193623,0
93_20260920193634,0
94_20260920193646,0
95_20260920193657,0
96_20260920193708,0
97_20260920193721,0
98_20260920193732,0
99_20260920193743,0
100_20260920193755,0
101_20260920193806,
102_20260920193817,
103_20260920193829,
104_20260920193840,
105_20260920193851,1
106_20260920193903,1
107_20260920193915,1
108_20260920193926,1
109_20260920193938,1
110_20260920193949,1
111_20260920194000,1
112_20260920194012,1
113_20260920194023,1
114_20260920194034,1
115_20260920194046,1
116_20260920194057,1
117_20260920194109,1
118_20260920194121,1
119_20260920194132,1
120_20260920194143,1
121_20260920194155,
122_20260920194206,2
123_20260920194217,2
124_20260920194229,2
125_20260920194240,2
126_20260920194251,2
127_20260920194304,2
128_20260920194315,2
129_20260920194326,2
130_20260920194337,2
131_20260920194349,2
132_20260920194401,2
133_20260920194412,2
134_20260920194424,2
135_20260920194436,2
136_20260920194447,2
137_20260920194458,2
138_20260920194510,2
139_20260920194521,2
140_20260920194532,2
141_20260920194544,2
142_20260920194555,2
143_20260920194606,2
144_20260920194619,2
145_20260920194630,2
146_20260920194641,2
147_20260920194653,2
148_20260920194704,2
149_20260920194715,2
150_20260920194727,2
151_20260920194738,2
152_20260920194749,2
153_20260920194801,2
154_20260920194812,2
155_20260920194823,2
156_20260920194836,2
157_20260920194847,2
158_20260920194858,2
159_20260920194910,2
160_20260920194921,2
161_20260920194932,2
162_20260920194944,2
163_20260920194955,2
164_20260920195006,2
165_20260920195018,2
166_20260920195029,2
167_20260920195040,2
168_20260920195053,2
169_20260920195104,2
