filename,label,nearest,margin
1_20260920191906,0,0,0.21574104454488552
2_20260920191917,0,1,0.2711506531468974
3_20260920191929,0,1,0.26292637194167445
4_20260920191940,0,1,0.09484836760041981
5_20260920191951,0,1,0.2728063061204835
6_20260920192002,0,1,0.27408200821213335
7_20260920192013,0,1,0.2722660265442433
8_20260920192025,0,1,0.28284881478450685
9_20260920192036,0,1,0.2739574857708489
10_20260920192047,0,1,0.27186833821622375
11_20260920192058,0,1,0.27370637178090995
12_20260920192110,0,1,0.27497932618714094
13_20260920192122,0,1,0.2827912021208198
14_20260920192133,0,1,0.2710116932980867
15_20260920192144,0,1,0.2749608087074209
16_20260920192155,0,1,0.2700548608729797
17_20260920192206,0,1,0.27723527899924105
18_20260920192218,0,1,0.27206711727796334
19_20260920192229,0,1,0.26978466895231135
20_20260920192241,0,1,0.283095735449788
21_20260920192253,0,1,0.2755139186446259
22_20260920192304,1,1,0.2720449685333248
23_20260920192316,1,1,0.28285955469883306
24_20260920192327,1,1,0.27481573482994603
25_20260920192338,1,1,0.27270824579050706
26_20260920192350,1,1,0.28280431139993717
27_20260920192401,1,1,0.2742036864677323
28_20260920192412,1,0,0.21935850595034267
29_20260920192423,1,1,0.273476389357207
30_20260920192435,1,0,0.21685056921931478
31_20260920192446,1,1,0.2743925158915467
32_20260920192458,1,1,0.2830453207293423
33_20260920192509,1,1,0.2750946191425458
34_20260920192520,1,1,0.27660613179489896
35_20260920192532,1,0,0.28250419470608
36_20260920192543,1,1,0.2747687287581511
37_20260920192554,1,1,0.2769734342362036
38_20260920192606,1,1,0.28256928845438384
39_20260920192618,1,1,0.2742256289469075
40_20260920192629,1,1,0.27742898298481244
41_20260920192640,1,1,0.2737710231586213
42_20260920192651,2,0,0.21932964311179726
43_20260920192702,2,1,0.2762497407883058
44_20260920192713,2,1,0.2724649669375029
45_20260920192724,2,0,0.2330727218359221
46_20260920192736,2,1,0.2827351285552976
47_20260920192747,2,1,0.2707094383311236
48_20260920192759,2,1,0.27801568062540427
49_20260920192811,2,1,0.28304912020216777
50_20260920192823,2,0,0.27260359059614614
51_20260920192834,2,1,0.274043221626291
52_20260920192845,2,1,0.2784298623417823
53_20260920192857,2,0,0.26645406401902894
54_20260920192908,2,1,0.27603916848576154
55_20260920192919,2,1,0.2802692017523028
56_20260920192931,2,1,0.2829380880118798
57_20260920192944,2,1,0.28277035494642405
58_20260920192956,2,1,0.2828299627964261
59_20260920193007,2,1,0.2715074524024319
60_20260920193018,2,1,0.2803375380878411
61_20260920193030,2,1,0.2829845391055852
81_20260920193417,0,0,0.17052706276004126
82_20260920193429,0,1,0.27233984867837874
83_20260920193440,0,1,0.2837994241529385
84_20260920193451,0,1,0.28368176040921467
85_20260920193503,0,1,0.28329720535787134
86_20260920193515,0,1,0.24592673787262617
87_20260920193526,0,0,0.11393463934375636
88_20260920193538,0,0,0.15951380065433285
89_20260920193549,0,1,0.2826755063348058
90_20260920193600,0,1,0.28279632224991785
91_20260920193612,0,1,0.278912686832935
92_20260920193623,0,1,0.2618847424870343
93_20260920193634,0,1,0.28443018700197825
94_20260920193646,0,1,0.2843305706743595
95_20260920193657,0,1,0.2838459350910618
96_20260920193708,0,0,0.15687710169858327
97_20260920193721,0,0,0.22516787577802178
98_20260920193732,0,1,0.17733427982399386
99_20260920193743,0,0,0.009730132127669933
100_20260920193755,0,0,0.26304485112510045
105_20260920193851,1,1,0.2839807088939435
106_20260920193903,1,1,0.28418918597066073
107_20260920193915,1,1,0.22178520640840552
108_20260920193926,1,1,0.27400195891516954
109_20260920193938,1,1,0.28260814433548087
110_20260920193949,1,1,0.19495196696221231
111_20260920194000,1,1,0.27760500556393947
112_20260920194012,1,1,0.28329874815903866
113_20260920194023,1,1,0.2808289044013107
114_20260920194034,1,1,0.2744558652119802
115_20260920194046,1,1,0.2839972573203077
116_20260920194057,1,1,0.28072250854709
117_20260920194109,1,1,0.28362434374866374
118_20260920194121,1,1,0.2765742535975016
119_20260920194132,1,1,0.15494151518748867
120_20260920194143,1,1,0.1459450150259859
122_20260920194206,2,1,0.2786192984036771
123_20260920194217,2,1,0.20024511201124262
124_20260920194229,2,2,0.3669804899541078
125_20260920194240,2,1,0.26233075476168644
126_20260920194251,2,1,0.2844038085901212
127_20260920194304,2,0,0.05789471099956822
133_20260920194412,2,1,0.09284469113610694
134_20260920194424,2,2,0.25384062221390113
138_20260920194510,2,0,0.06826758689298562
139_20260920194521,2,1,0.14397440954699603
140_20260920194532,2,0,0.11025091742714466
141_20260920194544,2,0,0.19519420099866558
142_20260920194555,2,1,0.23478303554098373
143_20260920194606,2,1,0.1637505005466019
144_20260920194619,2,2,0.3724397960411696
145_20260920194630,2,1,0.1881112031897587
146_20260920194641,2,1,0.28356297838695593
147_20260920194653,2,1,0.2807272408289981
149_20260920194715,2,2,0.15125178948831508
152_20260920194749,2,2,0.3395301642259869
153_20260920194801,2,2,0.32610842558633846
154_20260920194812,2,1,0.08177794846972475
166_20260920195029,2,0,0.1752862287906769
167_20260920195040,2,1,0.26775104506913217
168_20260920195053,2,0,0.2538963525749982
169_20260920195104,2,1,0.2730429061659972
